Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W_H,52W_L,VOLUME,VALUE,No_of_trades 
18-01-2023,EQ,641.55,642.5,637.7,641.15,640,640.15,639.96,918.65,557,706202,"45,19,37,543.75",20169
19-01-2023,EQ,639,641,635,640.15,640.05,640.3,639.38,918.65,557,802422,"51,30,48,677.05",22943
20-01-2023,EQ,639.5,651.95,638.5,640.3,641.4,641.45,645.75,918.65,557,1759179,"1,13,59,96,184.10",42165
23-01-2023,EQ,644.7,645,639.8,641.45,642.75,642.8,642.53,899.9,557,756232,"48,59,03,731.80",23810
24-01-2023,EQ,643.1,647.4,638.6,642.8,642.85,643.2,643.34,899.9,557,845755,"54,41,06,898.55",23310
25-01-2023,EQ,640.35,643.7,625.5,643.2,628.8,627.55,631.06,899.9,557,1518420,"95,82,06,538.40",45971
27-01-2023,EQ,630.7,632.85,601,627.55,613.7,611.85,611.86,899.9,557,2034846,"1,24,50,32,203.25",72959
30-01-2023,EQ,613.95,626.75,610,611.85,625.45,624.85,621.63,899.9,557,1192737,"74,14,44,498.70",35476
31-01-2023,EQ,626.05,640,622.2,624.85,638,636.6,632.26,899.9,557,1169450,"73,93,94,196.00",38764
01-02-2023,EQ,641,652.8,616.8,636.6,631.45,628.05,639.72,899.9,557,3338066,"2,13,54,21,805.50",81214
